id,FillKey,country_or_area,GDP,GDP_in_billions
AFG,GDP601_800,Afghanistan,668.000.000.000.000,668000
ALB,GDP0_200,Albania,46.400.000.000.000,46400
DZA,GDP401_600,Algeria,548.000.000.000.000,548000
AND,GDP401_600,Andorra,450.000.000.000.000,450000
AGO,GDP601_800,Angola,605.000.000.000.000,605000
AIA,GDP201_400,Anguilla,215.000.000.000.000,215000
ATG,GDP0_200,Antigua and Barbuda,13.700.000.000.000,13700
ARG,GDP0_200,Argentina,12.600.000.000.000,12600
ARM,GDP0_200,Armenia,36.200.000.000.000,36200
ABW,GDP201_400,Aruba,258.000.000.000.000,258000
AUS,GDP601_800,Australia,623.000.000.000.000,623000
AUT,GDP401_600,Austria,513.000.000.000.000,513000
AZE,GDP601_800,Azerbaijan,781.000.000.000.000,781000
BHS,GDP201_400,Bahamas,222.000.000.000.000,222000
BHR,GDP201_400,Bahrain,249.000.000.000.000,249000
BGD,GDP0_200,Bangladesh,10.900.000.000.000,10900
BRB,GDP0_200,Barbados,154.000.000.000.000,154000
BLR,GDP801_1000,Belarus,801.000.000.000.000,801000
BEL,GDP0_200,Belgium,47.300.000.000.000,47300
BLZ,GDP401_600,Belize,483.000.000.000.000,483000
BEN,GDP0_200,Benin,90.300.000.000.000,90300
BMU,GDP801_1000,Bermuda,898.000.000.000.000,898000
BTN,GDP201_400,Bhutan,257.000.000.000.000,257000
BOL,GDP201_400,Bolivia (Plurinational State of),312.000.000.000.000,312000
BIH,GDP401_600,Bosnia and Herzegovina,484.000.000.000.000,484000
BWA,GDP601_800,Botswana,712.000.000.000.000,712000
BRA,GDP0_200,Brazil,114.000.000.000.000,114000
IOT,GDP201_400,British Virgin Islands,305.000.000.000.000,305000
BRN,GDP401_600,Brunei Darussalam,410.000.000.000.000,410000
BGR,GDP601_800,Bulgaria,788.000.000.000.000,788000
BFA,GDP601_800,Burkina Faso,725.000.000.000.000,725000
BDI,GDP201_400,Burundi,265.000.000.000.000,265000
CPV,GDP201_400,Cabo Verde,361.000.000.000.000,361000
KHM,GDP0_200,Cambodia,109.000.000.000.000,109000
CMR,GDP0_200,Cameroon,141.000.000.000.000,141000
CAN,GDP401_600,Canada,502.000.000.000.000,502000
CYM,GDP0_200,Cayman Islands,58.800.000.000.000,58800
CAF,GDP201_400,Central African Republic,383.000.000.000.000,383000
TCD,GDP801_1000,Chad,941.000.000.000.000,941000
CHL,GDP0_200,Chile,145.000.000.000.000,145000
CHN,GDP601_800,China,762.000.000.000.000,762000
COL,GDP0_200,Colombia,79.000.000.000.000,79000
COM,GDP801_1000,Comoros,841.000.000.000.000,841000
COG,GDP201_400,Congo,312.000.000.000.000,312000
COK,GDP0_200,Cook Islands,150.000.000.000.000,150000
CRI,GDP0_200,Costa Rica,104.000.000.000.000,104000
CIV,GDP0_200,Cote d'Ivoire,155.000.000.000.000,155000
HRV,GDP0_200,Croatia,134.000.000.000.000,134000
CUB,GDP601_800,Cuba,727.000.000.000.000,727000
CUW,GDP201_400,Curacao,203.000.000.000.000,203000
CYP,GDP201_400,Cyprus,261.000.000.000.000,261000
CZE,GDP0_200,Czech Republic,195.000.000.000.000,195000
PRK,GDP601_800,Korea,696.000.000.000.000,696000
DNK,GDP601_800,Denmark,613.000.000.000.000,613000
DJI,GDP0_200,Djibouti,181.000.000.000.000,181000
DMA,GDP601_800,Dominica,736.000.000.000.000,736000
DOM,GDP601_800,Dominican Republic,615.000.000.000.000,615000
ECU,GDP601_800,Ecuador,635.000.000.000.000,635000
EGY,GDP201_400,Egypt,315.000.000.000.000,315000
SLV,GDP401_600,El Salvador,412.000.000.000.000,412000
GNQ,GDP201_400,Equatorial Guinea,204.000.000.000.000,204000
ERI,GDP601_800,Eritrea,755.000.000.000.000,755000
EST,GDP0_200,Estonia,20.100.000.000.000,20100
ETH,GDP401_600,Ethiopia,553.000.000.000.000,553000
FJI,GDP401_600,Fiji,511.000.000.000.000,511000
FIN,GDP401_600,Finland,497.000.000.000.000,497000
FRA,GDP401_600,France,427.000.000.000.000,427000
PYF,GDP0_200,French Polynesia,20.100.000.000.000,20100
GAB,GDP0_200,Gabon,103.000.000.000.000,103000
GMB,GDP401_600,Gambia,441.000.000.000.000,441000
GEO,GDP401_600,Georgia,410.000.000.000.000,410000
DEU,GDP401_600,Germany,480.000.000.000.000,480000
GHA,GDP0_200,Ghana,13.900.000.000.000,13900
GRC,GDP201_400,Greece,214.000.000.000.000,214000
GRL,GDP401_600,Greenland,434.000.000.000.000,434000
GRD,GDP0_200,Grenada,83.100.000.000.000,83100
GTM,GDP201_400,Guatemala,367.000.000.000.000,367000
GIN,GDP401_600,Guinea,536.000.000.000.000,536000
GNB,GDP601_800,Guinea-Bissau,672.000.000.000.000,672000
GUY,GDP401_600,Guyana,404.000.000.000.000,404000
HTI,GDP801_1000,Haiti,813.000.000.000.000,813000
HND,GDP201_400,Honduras,245.000.000.000.000,245000
HUN,GDP0_200,Hungary,140.000.000.000.000,140000
ISL,GDP401_600,Iceland,520.000.000.000.000,520000
IND,GDP0_200,India,159.000.000.000.000,159000
IDN,GDP0_200,Indonesia,34.900.000.000.000,34900
IRN,GDP401_600,Iran,544.000.000.000.000,544000
IRQ,GDP601_800,Iraq,639.000.000.000.000,639000
IRL,GDP401_600,Ireland,536.000.000.000.000,536000
ISR,GDP201_400,Israel,385.000.000.000.000,385000
ITA,GDP0_200,Italy,35.800.000.000.000,35800
JAM,GDP0_200,Jamaica,50.000.000.000.000,50000
JPN,GDP201_400,Japan,363.000.000.000.000,363000
JOR,GDP401_600,Jordan,483.000.000.000.000,483000
KAZ,GDP0_200,Kazakhstan,124.000.000.000.000,124000
KEN,GDP0_200,Kenya,136.000.000.000.000,136000
KIR,GDP0_200,Kiribati,163.000.000.000.000,163000
KWT,GDP401_600,Kuwait,436.000.000.000.000,436000
KGZ,GDP0_200,Kyrgyzstan,127.000.000.000.000,127000
LAO,GDP0_200,Lao People's Democratic Republic,17.600.000.000.000,17600
LVA,GDP0_200,Latvia,157.000.000.000.000,157000
LBN,GDP801_1000,Lebanon,884.000.000.000.000,884000
LSO,GDP801_1000,Lesotho,986.000.000.000.000,986000
LBR,GDP401_600,Liberia,483.000.000.000.000,483000
LBY,GDP601_800,Libya,660.000.000.000.000,660000
LIE,GDP0_200,Liechtenstein,157.000.000.000.000,157000
LTU,GDP0_200,Lithuania,166.000.000.000.000,166000
LUX,GDP0_200,Luxembourg,117.000.000.000.000,117000
MDG,GDP401_600,Madagascar,453.000.000.000.000,453000
MWI,GDP201_400,Malawi,343.000.000.000.000,343000
MYS,GDP0_200,Malaysia,109.000.000.000.000,109000
MDV,GDP0_200,Maldives,8.480.000.000.000,8480
MLI,GDP601_800,Mali,701.000.000.000.000,701000
MLT,GDP201_400,Malta,252.000.000.000.000,252000
MHL,GDP201_400,Marshall Islands,395.000.000.000.000,395000
MRT,GDP0_200,Mauritania,128.000.000.000.000,128000
MUS,GDP801_1000,Mauritius,995.000.000.000.000,995000
MEX,GDP0_200,Mexico,103.000.000.000.000,103000
FSM,GDP201_400,Micronesia (Federated States of),296.000.000.000.000,296000
MCO,GDP0_200,Monaco,188.000.000.000.000,188000
MNG,GDP401_600,Mongolia,415.000.000.000.000,415000
MNE,GDP601_800,Montenegro,734.000.000.000.000,734000
MSR,GDP0_200,Montserrat,124.000.000.000.000,124000
MAR,GDP201_400,Morocco,324.000.000.000.000,324000
MOZ,GDP601_800,Mozambique,628.000.000.000.000,628000
MMR,GDP0_200,Myanmar,124.000.000.000.000,124000
NAM,GDP401_600,Namibia,559.000.000.000.000,559000
NRU,GDP0_200,Nauru,17.900.000.000.000,17900
NPL,GDP0_200,Nepal,69.200.000.000.000,69200
NLD,GDP401_600,Netherlands,521.000.000.000.000,521000
NCL,GDP0_200,New Caledonia,39.400.000.000.000,39400
NZL,GDP401_600,New Zealand,442.000.000.000.000,442000
NIC,GDP0_200,Nicaragua,19.600.000.000.000,19600
NER,GDP401_600,Niger,427.000.000.000.000,427000
NGA,GDP201_400,Nigeria,320.000.000.000.000,320000
NOR,GDP801_1000,Norway,972.000.000.000.000,972000
OMN,GDP0_200,Oman,193.000.000.000.000,193000
PAK,GDP0_200,Pakistan,136.000.000.000.000,136000
PLW,GDP0_200,Palau,111.000.000.000.000,111000
PAN,GDP0_200,Panama,127.000.000.000.000,127000
PNG,GDP201_400,Papua New Guinea,222.000.000.000.000,222000
PRY,GDP401_600,Paraguay,473.000.000.000.000,473000
PER,GDP601_800,Peru,652.000.000.000.000,652000
PHL,GDP201_400,Philippines,287.000.000.000.000,287000
POL,GDP0_200,Poland,141.000.000.000.000,141000
PRT,GDP201_400,Portugal,221.000.000.000.000,221000
PRI,GDP201_400,Puerto Rico,281.000.000.000.000,281000
QAT,GDP801_1000,Qatar,975.000.000.000.000,975000
KOR,GDP201_400,Republic of Korea,282.000.000.000.000,282000
MDA,GDP0_200,Republic of Moldova,195.000.000.000.000,195000
ROU,GDP0_200,Romania,101.000.000.000.000,101000
RUS,GDP0_200,Russian Federation,129.000.000.000.000,129000
RWA,GDP601_800,Rwanda,697.000.000.000.000,697000
KNA,GDP0_200,Saint Kitts and Nevis,155.000.000.000.000,155000
LCA,GDP601_800,Saint Lucia,765.000.000.000.000,765000
VCT,GDP601_800,Saint Vincent and the Grenadines,667.000.000.000.000,667000
WSM,GDP0_200,Samoa,4.290.000.000.000,4290
SMR,GDP401_600,San Marino,584.000.000.000.000,584000
STP,GDP0_200,Sao Tome and Principe,181.000.000.000.000,181000
SAU,GDP201_400,Saudi Arabia,244.000.000.000.000,244000
SEN,GDP0_200,Senegal,10.700.000.000.000,10700
SRB,GDP601_800,Serbia,615.000.000.000.000,615000
SYC,GDP0_200,Seychelles,158.000.000.000.000,158000
SLE,GDP601_800,Sierra Leone,775.000.000.000.000,775000
SGP,GDP0_200,Singapore,55.900.000.000.000,55900
SXM,GDP201_400,Sint Maarten (Dutch part),281.000.000.000.000,281000
SVK,GDP0_200,Slovakia,185.000.000.000.000,185000
SVN,GDP201_400,Slovenia,240.000.000.000.000,240000
SLB,GDP0_200,Solomon Islands,193.000.000.000.000,193000
SOM,GDP0_200,Somalia,131.000.000.000.000,131000
ZAF,GDP601_800,South Africa,648.000.000.000.000,648000
SSD,GDP801_1000,South Sudan,924.000.000.000.000,924000
ESP,GDP201_400,Spain,299.000.000.000.000,299000
LKA,GDP201_400,Sri Lanka,363.000.000.000.000,363000
PSE,GDP201_400,State of Palestine,281.000.000.000.000,281000
SDN,GDP201_400,Sudan,208.000.000.000.000,208000
SUR,GDP801_1000,Suriname,968.000.000.000.000,968000
SWZ,GDP201_400,Swaziland,353.000.000.000.000,353000
SWE,GDP401_600,Sweden,589.000.000.000.000,589000
CHE,GDP801_1000,Switzerland,854.000.000.000.000,854000
SYR,GDP0_200,Syrian Arab Republic,182.000.000.000.000,182000
TJK,GDP0_200,Tajikistan,111.000.000.000.000,111000
THA,GDP401_600,Thailand,598.000.000.000.000,598000
MKD,GDP0_200,The former Yugoslav Republic of Macedonia,54.500.000.000.000,54500
TLS,GDP401_600,Timor-Leste,429.000.000.000.000,429000
TGO,GDP0_200,Togo,64.300.000.000.000,64300
TON,GDP401_600,Tonga,412.000.000.000.000,412000
TTO,GDP201_400,Trinidad and Tobago,207.000.000.000.000,207000
TUN,GDP401_600,Tunisia,426.000.000.000.000,426000
TUR,GDP0_200,Turkey,103.000.000.000.000,103000
TKM,GDP801_1000,Turkmenistan,903.000.000.000.000,903000
TCA,GDP201_400,Turks and Caicos Islands,236.000.000.000.000,236000
TUV,GDP201_400,Tuvalu,380.000.000.000.000,380000
UGA,GDP601_800,Uganda,727.000.000.000.000,727000
UKR,GDP201_400,Ukraine,293.000.000.000.000,293000
ARE,GDP401_600,United Arab Emirates,440.000.000.000.000,440000
GBR,GDP401_600,United Kingdom of Great Britain and Northern Ireland,465.000.000.000.000,465000
TZA,GDP801_1000,United Republic of Tanzania: Mainland,952.000.000.000.000,952000
USA,GDP401_600,United States,543.000.000.000.000,543000
URY,GDP0_200,Uruguay,168.000.000.000.000,168000
UZB,GDP201_400,Uzbekistan,214.000.000.000.000,214000
VUT,GDP201_400,Vanuatu,314.000.000.000.000,314000
VEN,GDP0_200,Venezuela (Bolivarian Republic of),166.000.000.000.000,166000
VNM,GDP201_400,Viet Nam,201.000.000.000.000,201000
YEM,GDP0_200,Yemen,14.200.000.000.000,14200
ZMB,GDP0_200,Zambia,172.000.000.000.000,172000
ZWE,GDP801_1000,Zimbabwe,965.000.000.000.000,965000
